ip.proto	tcp.flags	udp.srcport	tcp.srcport	data
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40588	
6	0x00000010		40564	
6	0x00000010		40578	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40578	
6	0x00000010		40588	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40600	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40594	
6	0x00000010		40574	
6	0x00000010		40604	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000010		40604	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40542	
6	0x00000010		40594	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40560	
6	0x00000010		40602	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40578	
6	0x00000010		40604	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40578	
6	0x00000010		40594	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000010		40578	
6	0x00000010		40558	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40578	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000010		40604	
6	0x00000010		40600	
6	0x00000010		40542	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000010		40578	
6	0x00000018		8080	
6	0x00000010		40594	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40594	
6	0x00000010		40604	
6	0x00000010		40560	
6	0x00000010		40552	
6	0x00000010		40564	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40594	
6	0x00000010		40552	
6	0x00000010		40564	
6	0x00000010		40560	
6	0x00000010		40558	
6	0x00000010		40586	
6	0x00000010		40584	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40584	
6	0x00000018		8080	
6	0x00000010		40584	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000010		40566	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40600	
6	0x00000010		40566	
6	0x00000010		40598	
6	0x00000010		40586	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40600	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40560	
6	0x00000010		40600	
6	0x00000010		40602	
6	0x00000018		8080	
6	0x00000010		40600	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000010		40584	
6	0x00000010		40604	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000010		40604	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000010		40542	
6	0x00000010		40584	
6	0x00000018		8080	
6	0x00000010		40560	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000010		40586	
6	0x00000010		40584	
6	0x00000010		40600	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000010		40566	
6	0x00000010		40604	
6	0x00000010		40558	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40566	
6	0x00000010		40558	
6	0x00000010		40564	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000010		40586	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40586	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40604	
6	0x00000010		40556	
6	0x00000010		40566	
6	0x00000010		40586	
6	0x00000010		40568	
6	0x00000010		40558	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40580	
6	0x00000010		40558	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40556	
6	0x00000010		40560	
6	0x00000010		40600	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40590	
6	0x00000010		40602	
6	0x00000010		40586	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40586	
6	0x00000010		40600	
6	0x00000010		40574	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40574	
6	0x00000010		40586	
6	0x00000010		40584	
6	0x00000010		40606	
6	0x00000010		40566	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40574	
6	0x00000010		40584	
6	0x00000010		40586	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40574	
6	0x00000010		40604	
6	0x00000010		40602	
6	0x00000010		40584	
6	0x00000010		40598	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40562	
6	0x00000010		40566	
6	0x00000010		40568	
6	0x00000018		8080	
6	0x00000010		40574	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40596	
6	0x00000010		40602	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40566	
6	0x00000010		40580	
6	0x00000010		40564	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40564	
6	0x00000010		40598	
6	0x00000010		40592	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40592	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40548	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40580	
6	0x00000010		40564	
6	0x00000010		40598	
6	0x00000010		40544	
6	0x00000010		40546	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40576	
6	0x00000010		40590	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40564	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40592	
6	0x00000010		40598	
6	0x00000010		8080	
6	0x00000010		40548	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40548	
6	0x00000010		40598	
6	0x00000010		40592	
6	0x00000010		40580	
6	0x00000010		40602	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40602	
6	0x00000010		40592	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000010		40602	
6	0x00000010		40556	
6	0x00000010		40568	
6	0x00000018		8080	
6	0x00000010		40576	
6	0x00000018		8080	
6	0x00000010		40574	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000010		40590	
6	0x00000010		40576	
6	0x00000010		40582	
6	0x00000010		40574	
6	0x00000010		8080	
6	0x00000010		40602	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40574	
6	0x00000018		8080	
6	0x00000010		40574	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40606	
6	0x00000010		40580	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40590	
6	0x00000010		40568	
6	0x00000010		40598	
6	0x00000010		40592	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40598	
6	0x00000010		40570	
6	0x00000010		40576	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40598	
6	0x00000010		40568	
6	0x00000010		8080	
6	0x00000010		40576	
6	0x00000010		8080	
6	0x00000010		40576	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40568	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40568	
6	0x00000010		8080	
6	0x00000010		40580	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40548	
6	0x00000010		8080	
6	0x00000010		40580	
6	0x00000018		8080	
6	0x00000010		40580	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000010		40560	
6	0x00000010		40560	
6	0x00000018		8080	
6	0x00000010		40596	
6	0x00000010		8080	
6	0x00000010		40596	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40596	
6	0x00000018		8080	
6	0x00000010		40576	
6	0x00000010		40596	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40596	
6	0x00000010		40596	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		40602	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40576	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40590	
6	0x00000010		40590	
6	0x00000010		40602	
6	0x00000010		40576	
6	0x00000018		8080	
6	0x00000010		40598	
6	0x00000018		8080	
6	0x00000010		40602	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40542	
6	0x00000010		8080	
6	0x00000010		40586	
6	0x00000010		40606	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000010		40556	
6	0x00000010		8080	
6	0x00000010		40576	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		40576	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40560	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40582	
6	0x00000010		40606	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40576	
6	0x00000010		40552	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		40570	
6	0x00000010		40574	
6	0x00000010		8080	
6	0x00000010		40564	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40562	
6	0x00000010		40564	
6	0x00000010		40578	
6	0x00000010		8080	
6	0x00000010		40590	
6	0x00000018		8080	
6	0x00000010		40590	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		40570	
6	0x00000010		64099	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40546	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000010		40588	
6	0x00000010		8080	
6	0x00000010		40558	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40558	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40558	
6	0x00000010		40562	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40562	
6	0x00000010		40570	
6	0x00000018		8080	
6	0x00000010		40570	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000010		40606	
6	0x00000018		8080	
6	0x00000010		40546	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40542	
6	0x00000010		40542	
6	0x00000018		8080	
6	0x00000010		40542	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000010		40604	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40566	
6	0x00000010		40566	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40570	
6	0x00000018		8080	
6	0x00000010		40570	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000010		40570	
6	0x00000010		8080	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40556	
6	0x00000010		40606	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40570	
6	0x00000010		40558	
6	0x00000018		8080	
6	0x00000010		40606	
6	0x00000018		8080	
6	0x00000010		40590	
6	0x00000010		8080	
6	0x00000010		40544	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40600	
6	0x00000010		40544	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40590	
6	0x00000010		40600	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
17		52189		4c4f535320313731383735333937312034392038393542413136392d433041422d343845412d423037462d3537453136313732373536460a
6	0x00000010		40546	
6	0x00000010		40606	
6	0x00000010		40544	
6	0x00000018		8080	
6	0x00000010		40572	
6	0x00000018		8080	
6	0x00000010		40568	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40590	
6	0x00000010		40570	
6	0x00000010		8080	
6	0x00000010		40548	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		8080	
6	0x00000010		40548	
6	0x00000010		40568	
6	0x00000010		40546	
6	0x00000010		40544	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40544	
6	0x00000010		40558	
6	0x00000010		40546	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40546	
6	0x00000010		40580	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40570	
6	0x00000010		40558	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40558	
6	0x00000010		40544	
6	0x00000010		40606	
6	0x00000010		40546	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40606	
6	0x00000010		40590	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40546	
6	0x00000010		40558	
6	0x00000010		40606	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		8080	
6	0x00000010		40606	
6	0x00000010		40572	
6	0x00000010		40558	
6	0x00000010		40570	
6	0x00000010		40556	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40556	
6	0x00000010		40564	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000018		8080	
6	0x00000010		40606	
6	0x00000010		40570	
6	0x00000018		8080	
